City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
564,Mitsamiouli,KM,75.49,clear sky,-11.3847,43.2844,Foyer ADM
566,Santa Clara,CU,76.66,scattered clouds,22.4,-79.9667,El Carmen
571,Tomatlan,MX,80.19,broken clouds,19.9333,-105.25,El Salvial
574,Oranjestad,AW,84.15,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
578,Tual,ID,82.04,broken clouds,-5.6667,132.75,Grand Vilia Hotel
584,Nouadhibou,MR,76.98,scattered clouds,20.931,-17.0347,El Medina
585,Venice,US,80.01,clear sky,27.0998,-82.4543,A Beach Retreat On Casey Key
586,Lunao,PH,87.33,overcast clouds,8.8503,125.0564,Home Alone
588,Alenquer,BR,78.64,few clouds,-1.9417,-54.7383,Detinha Hotel
592,Casa Nova,BR,76.73,few clouds,-9.4167,-41.1333,LÔRO BEACH. DUNAS
593,Jining,CN,77.36,scattered clouds,35.405,116.5814,Yunhe Star Hotel
597,Miri,MY,77.14,light rain,4.4148,114.0089,"Mega Hotel, Miri"
598,Mingguang,CN,77.76,broken clouds,32.7802,117.9638,Yonghao Hotel
604,Mawlaik,MM,86.13,scattered clouds,23.6333,94.4167,AKZ Guest House
606,Yining,CN,83.68,few clouds,29.0361,114.5636,Xiushui Hotel
609,Dayong,CN,80.62,overcast clouds,25.0209,118.2898,Haiyue Express Hotel
611,Luganville,VU,83.44,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
619,Ukiah,US,82.65,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
620,Beruwala,LK,80.26,overcast clouds,6.4788,79.9828,The Palms Hotel
627,Port-Gentil,GA,76.59,light rain,-0.7193,8.7815,Fengshui Residence
628,Wanning,CN,82.99,overcast clouds,18.8003,110.3967,Paradise Hotel
635,Kabanjahe,ID,75.2,overcast clouds,3.1001,98.4908,Kos-Kosan wanita muslim bagoes kabanjahe
639,Acapulco,MX,80.42,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
640,Mazagao,BR,84.25,clear sky,-0.115,-51.2894,Recanto dos Ferreiras
641,Itupiranga,BR,79.12,clear sky,-5.1347,-49.3267,Hotel Panorama
643,Tadepallegudem,IN,84.54,overcast clouds,16.8333,81.5,Hotel Selection Grand
648,Bandarbeyla,SO,76.78,overcast clouds,9.4942,50.8122,JABIR HOTEL
650,Alice Springs,AU,76.21,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
653,Weligama,LK,80.53,overcast clouds,5.9667,80.4167,Weligama Bay Resort
655,Lakatoro,VU,83.32,clear sky,-16.0999,167.4164,Lakatoro Palm Lodge
657,Dori,BF,85.19,scattered clouds,14.0354,-0.0345,Hôtel Liptako
658,Yanam,IN,85.12,overcast clouds,16.7333,82.2167,The Regency Hotel
665,Matamoros,MX,86.11,few clouds,25.5333,-103.25,Quinta Belem
674,San Policarpo,PH,85.39,overcast clouds,12.1791,125.5072,Agapita M. Nicart
677,Pecos,US,83.3,clear sky,31.4229,-103.4932,Knights Inn & Suites Pecos Northeast
681,Santa Isabel Do Rio Negro,BR,75.67,clear sky,-0.4139,-65.0192,Hotel GSA
682,Biltine,TD,81.79,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
694,Safaga,EG,87.21,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
695,Bilma,NE,87.06,few clouds,18.6853,12.9164,Expeditions Ténére voyages
696,Waingapu,ID,87.57,few clouds,-9.6567,120.2641,Pondok Wisata Elim
697,Amahai,ID,81.91,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
